,learning_rate,n_estimators,num_leaves,min_child_weight,colsample_bytree,subsample,reg_alpha,mean_test_score,std_test_score,rank_test_score
19,0.01023456596584261,6400,16,16,0.6,0.6,0.5185017997280286,0.7814033634716525,0.004962937993909085,1
14,0.013237055888982477,1600,50,8,0.8,0.8,0.06702863078039507,0.7812266543997788,0.005038673278092872,2
21,0.04741779351894459,800,8,8,0.6,0.8,0.0728864244395368,0.7797389419009816,0.004879945005264778,3
8,0.05757537759632293,1600,4,4,0.8,1,0.004349203225499486,0.7794332022366532,0.00554424020530809,4
48,0.037273222137296544,400,16,16,0.6,1,0.26330070765830776,0.7791846101660997,0.0053001043856827955,5
42,0.03790392409841056,1600,4,16,0.6,0.6,0.31863076595647194,0.7788490155740565,0.005624381155711792,6
1,0.0439266479272964,1600,16,8,0.8,1,0.0015249981951798595,0.7787189063008348,0.00524784896332414,7
18,0.11576351893407022,800,4,4,0.8,0.8,0.0037863822949281475,0.7786437257637997,0.00596896561202118,8
43,0.014983427025466463,1600,8,4,0.6,0.8,0.4653543687546564,0.7781747417767674,0.0054464688338696585,9
46,0.06518845392759898,400,8,4,0.8,1,0.004916730397320796,0.777589810761416,0.005530050689672937,10
0,0.06292827825947031,6400,4,16,0.8,0.8,0.002802428211929514,0.7771911861813255,0.004554658920063492,11
35,0.039758798402733275,200,50,4,0.8,0.6,0.020727228133997286,0.7771589406483264,0.0048781464830894876,12
27,0.16681530181243884,400,8,4,0.8,0.6,0.017852967629522865,0.7769403399186094,0.005298905377868451,13
4,0.025445889609402746,1600,4,16,0.8,1,0.007873670159516743,0.7768663265328366,0.006033348380746691,14
37,0.12124983778193155,400,4,1,0.8,1,0.2669143610579593,0.7766935250015939,0.00594066091638768,15
49,0.05968561323903543,200,16,1,0.6,1,0.7236332983009877,0.7766464888450204,0.005627510935615046,16
22,0.19882455561630977,1600,4,1,0.8,1,0.35780985741944615,0.7746479986223886,0.004697298344132584,17
33,0.11719716661445645,200,50,8,0.8,0.6,0.43362720206551075,0.773554929475491,0.005587886329451811,18
2,0.014463500453208133,6400,50,8,0.8,0.6,0.23987027162683128,0.7723916431603894,0.004954661641542472,19
9,0.07655300679974168,200,4,16,0.6,0.8,0.0092606941448882,0.7688105973664643,0.005894545130392755,20
40,0.06300720550750642,6400,8,4,0.8,1,0.004892464932615046,0.7680204631795464,0.005355942211982886,21
29,0.030486213430196956,200,8,1,0.8,1,0.05048275017443221,0.7649387687287627,0.005971842002691864,22
44,0.028488349381656643,400,4,8,0.6,0.8,0.0016627373698877975,0.764926029546371,0.00622612045386944,23
41,0.02860592572158176,6400,50,8,0.8,0.6,0.742893476462752,0.7645115420730529,0.004244475627000553,24
31,0.18600468823449068,800,16,16,0.8,1,0.05901986578817544,0.7632808664950289,0.004613267323971116,25
5,0.4569229435516351,800,4,1,0.6,0.6,0.18048092271895735,0.7631251314611596,0.003835445580740223,26
25,0.021550921066339945,400,4,4,0.8,0.8,0.2982994204231054,0.7609848042150483,0.00631749841400727,27
24,0.031976972358032194,6400,50,16,0.8,0.8,0.3033493227574848,0.7607358402296978,0.004807475913820009,28
16,0.20359057655362733,200,50,1,0.6,0.6,0.004281639459142813,0.7590452506394711,0.004932409137287893,29
12,0.5865642287290758,200,8,8,0.6,1,0.029128140674687816,0.7565556360700185,0.005215185714350325,30
34,0.029145064274773688,200,4,4,0.6,0.6,0.17779100327349737,0.7541391268727315,0.006066920588967468,31
32,0.21665270025363753,6400,4,8,0.6,0.8,0.03080858674142675,0.751541415231584,0.0034998917217921683,32
17,0.05010431991490293,6400,50,1,0.8,1,0.0013265764097713229,0.7513178541237185,0.004412927147374258,33
38,0.13293344670426196,6400,8,1,0.8,0.8,0.0474738056575918,0.7504625180297853,0.005550635205006152,34
3,0.1321750218507795,6400,50,16,0.8,0.6,0.01054427944795662,0.7440297583876047,0.0042388375317991885,35
28,0.01693444810448222,200,4,8,0.8,1,0.36445661879143443,0.7422690282093571,0.005749920753322911,36
39,0.8105776660276709,800,4,8,0.8,1,0.7047177112227614,0.7396295656289655,0.004269392258331656,37
11,0.620725471781592,1600,4,16,0.8,1,0.24864148720666895,0.7394951109986756,0.0038099072985086422,38
10,0.23793208227691534,6400,50,8,0.6,0.6,0.20390169292820434,0.7383311902534886,0.0027870443186033982,39
45,0.31947737612527827,400,50,8,0.6,1,0.030802638039905555,0.732712616108081,0.005336438256032263,40
13,0.37212287830809515,1600,50,4,0.6,0.8,0.45687898935607163,0.7326655182855021,0.0038632970158886,41
36,0.010197474921654723,200,4,16,0.8,0.6,0.0011789103602013336,0.7300664165524264,0.004891368344585557,42
47,0.3981479494369215,6400,16,8,0.6,0.8,0.017257609615104606,0.7257099918056622,0.00455310906350156,43
15,0.486729454896005,400,50,4,0.8,0.6,0.04178410430785475,0.7134042373569207,0.0040781253383492845,44
23,0.7577402876113063,800,8,4,0.6,1,0.0061632621606042765,0.7091521137277462,0.004072935218142097,45
26,0.7759729640172448,400,16,8,0.6,0.6,0.003888066640103543,0.7015143628798577,0.005350775912727557,46
7,0.7557266625861903,1600,8,16,0.8,1,0.020618798427362355,0.6975397738604452,0.004055024884109167,47
20,0.8361616525076737,800,16,16,0.6,0.6,0.10915032342353224,0.6918065739915057,0.003211296170885205,48
30,0.895656032464008,400,50,1,0.6,0.6,0.19617531990864098,0.6906322163216124,0.005410284648079475,49
6,0.9299229323934698,6400,4,8,0.6,0.8,0.5256670783581148,0.6893334226499876,0.003142650927808047,50
